kata,arti
ae,saja
aing,saya 
aja,saja
ak,aku
akuwh,aku
akyu,aku
alow,halo
amacacih,ah masa sih
ame,sama
aned,banget
anx,anak
aoa,ada
apart,apartemen
babeh,bapak
bair ,agar
bais,habis
balung,tulang
bangedh,banget
baper,bawa perasaan
baryaw,sabar ya
bbur,bubur
bdg,bandung
bekel,bekal
berabe,runyam
berjam2,berjam-jam
bero,bro 
beroh,bro 
besaq,besar
bet,banget
beud,banget
beut,banget
bgd,sangat
bgini ,begini
bgr,bogor
bgt,sangat
biasak,biasa
bingit,banget
bingits,banget
binun,bingung
biyasa,biasa 
bkl,akan
bkn,bukan
blg,bilang
blkg,belakang
blm,belum 
bnda,benda
bndg,bandung
bnyak,banyak
bnyk,banyak
bobo,tidur
bokap,ayah
bokeb,bokep
bokis,bohong
boljug,boleh juga
boro-boro,jangankan
boz,bos
bpn,balikpapan
brg,bersama
bs,bisa
bsd,bumi serpong damai
buatin,buatkan
c8,chat
cabut,pergi
caoongcih,masa bohong sih
caper,cari perhatian
cau,pergi
cbbr,cibubur 
cbdyt,cibaduyut
ceff,chef
cekcih,seksi 
cemungudh,semangat
cfd,carfreeday
cgk,cengkareng
cintrong,cinta
citos,cilandak town square 
ciyh,sih
ciyus,serius
ckep,cakep
ckp,cukup
ckup,cukup 
cm,cuma
cos,karena
coz,karena
cpeg,capek
cppa,siapa
cppe,capek
cuks,cukup
curcol,curhat
cuxin,cuekin
cuy,bro
cvrht,curhat
cwekz,cewek
cwokz,cowok
cz,karena
d',di
da,sudah
dagh,sudah
dah,sudah
dalkot,dalam  kota
dapet,mendapatkan
dduk,duduk
dech,deh
deyh,deh
dgn,dengan 
dihati.q,dihatiku
dimana2,dimana-mana
dimandose,dimana
dimans,dimana
dines,dinas
dkt,dekat 
dl,dulu
dlu,dulu
dng,dengan
doang ,saja 
doi,dia
donh,dong 
doski,dia
dps,denpasar
dr,dari
dri,dari 
duluw,dulu
dutt,gendut
ea,ya
ekoq,ekor
emang,memang
emejing,amazing
emprit,sebel
endes,enak
enelan,beneran
enggak,tidak 
enk,enak
eskrem,eskrim
et,add
fans.u,fansmu
fyi,for your information
ga,tidak
gag,tidak
gais,guys
gajebo,tidak jelas
gak,tidak
galauers,anak galau
gatsoe,gatot subroto
gatsu,gatot subroto
gax,tidak
ghiey,lagi
ghiy,lagi
gi,lagi
gini,begini
gk,tidak
gmn,bagaimana
gokil,gila
gpp,tidak apa
grgr,gara-gara
gtw,tidak  tahu
gua,saya
gudnyus,goodnews
"heboh""",heboh-heboh
hepi,happy
hoz,rumah
hp,handphone
hr,hari
humz,rumah
hy,hanya
ilang,hilang
imoetz,imut
iniyh,ini
iups,iya
iupz,iya
jabar,jawa barat
jagan,jangan
jakbar,jakarta barat
jakpus,jakarta pusat
jaksel,jakarta selatan
jaktim,jakarta timur
jakut,jakarta utara
jateng,jawa tengah
jatim,jawa timur
jemb,jembatan 
jga,juga
jgj,yogyakarta
jgn,jangan
jkrt,jakarta 
jkt,jakarta
jl,jalan
jl.,jalan
jln,jalan
jml,jumlah
jog,yogyakarta
jogja,yogyakarta
jogjakarta,yogyakarta
jokja,yogyakarta
jorse,jorok
kaga,tidak 
kagak,tidak 
kalo,jika
kaluw,kalau
kamseupay,norak
kamsud,maksud
kamuh,kamu
kamuwh,kamu
kamyu,kamu
kant,kan
kanz,kan
k'arah,ke arah
kdpp,tidak apa
kece,keren
kecebak,terjebak
kek,dong
keles,kali
keleus,kali
kemon,ayo
kenaps,kenapa
kendiri ,sendiri 
kepo,ingin tahu aja urusan orang
kervik,keripik
kesni,kesini 
ketjaan,kerjaan
kgn,kangen
khan,kan
khuzuz,khusus
kicep,diam
klau,kalau
klian,kalian
klianz,kalian
klw,kalau
km,kamu
kocak,lucu
kog,kok
koit,mati
kongkow,nongkrong
koplak,gila
koq,kok
krang,kurang
krank,kurang
krent,keren
krenz,keren
krj,kerja 
krn,karena 
ktemu,ketemu
kug,kok
kuq,kok
ky,seperti
kyak,seperti 
kyb,keep your best
l.a.sucipto ,laksda adisucipto 
lalin,lalu lintas
lam,salam
lanud ,pangkalan udara 
laper,lapar
lebay,berlebihan
lefo,telat info
leh,boleh
lemes,lemas
lg,lagi
lngka,langka
lo,kamu
loe,kamu
lom,belum
lope,love
louph,love
loupz,love
low,kalau
lu,kamu
luchuw,lucu
luff,love
lum,belum
luph,love
lupita,lupa
lupz,lupa
luthu,lucu
maacih,terimakasih
maap,maaf
maapkeun,maafkan
mabok,mabuk
macama,sama-sama
macapah,dengan siapa
