kus melati samarinda |117.1201|-0.5524
cafe  bali badung bali|115.1595|-8.6842
where the lazy lives |119.4818|-5.1623
gmim baitel girian atas |125.1239|1.4412
dhofi andreas home |115.2423|-8.6330
sultan hasanuddin international airport upg makassar sulawesi selatan|119.5473|-5.0766
saung nelayan cafe n resto |109.3617|-0.0697
rm mas daeng makassar sulawesi selatan|119.4130|-5.1471
fakultas sastra unhas makassar indonesia|119.4901|-5.1330
bakso permata |117.1477|-0.4766
benoa square bos  benoasquarebali badung bali |115.1791|-8.7613
aula fakultas kedokteran|124.8269|1.4574
indahs room httptcotbnx9b53es |119.5689|-5.0286
sman 2 denpasar denpasar bali|115.2179|-8.6770
inspektorat prov kalteng |113.9213|-2.2186
indomaret a yani kediri bali denpasar bali |115.1429|-8.5557
smkn 1 denpasar denpasar barat bali|115.2077|-8.6378
yhs church|119.4202|-5.1344
pipos |115.2186|-8.6144
teknologi informasi fakultas teknik univ udayana|115.1764|-8.7964
bundaran r suprapto ketapang kalimantan barat |109.9708|-1.8440
kdevis kost |115.1711|-8.7797
my territory |115.1711|-8.6380
lotte mart wholesale|115.2212|-8.7140
studio xxi banjarmasin kalimantan selatan|114.6036|-3.3229
sintesa peninsula hotel manado sulawesi utara |124.8428|1.4909
amaris hotel  santikahotels ambon moluccas |128.1785|-3.7017
stmik kharisma makassar makassar south sulawesi|119.4129|-5.1674
taman rama gandhi school badung bali|115.1990|-8.6206
soto ceker pasar kuta|115.1767|-8.7232
sentani purnama resto |140.6300|-2.6049
pelabuhan bajoe watone south sulawesi |120.4052|-4.5467
kelurahan kamasi tomohon sulawesi utara |124.8370|1.3262
kfc  kfcindonesia kendari sulawesi tenggara|122.5100|-3.9811
hotel imperial kendari|122.5075|-3.9875
terminal petikemas makassar |119.4087|-5.1239
malbaligaleria kuta indonesia |115.1856|-8.7234
ryas |119.4791|-5.1715
koeng popsa makassar sulawesi selatan|119.4043|-5.1338
bandara sultan hasanuddin |119.4944|-5.0760
pt pln persero app bali |115.1810|-8.5828
warung makan cjdw |115.3210|-8.5437
ruang teater widya sabha usadha fakultas kedokteran universitas udayana |115.2184|-8.6736
mcdonalds|115.1784|-8.7816
lab media dasar |115.0898|-8.1168
dprd gianyar |115.3232|-8.5454
sma 7 makassar makassar indonesia pic |119.5276|-5.0841
my room  denpasar bali |115.1830|-8.7383
kuburan padang seni kuta bali |115.1796|-8.7355
natural agro product luwak coffee and balinese house  negariluwakcoff br negari singapadu gianyar |115.2566|-8.5744
bakso lapangan tembak palangka raya central borneo |113.9056|-2.2141
diians |115.2423|-8.6633
bhees room |119.4470|-5.1457
sma kristen |113.9211|-2.2140
my home |120.1878|-2.9960
ud sinar makmur tanete |128.1978|-3.6709
pttelkom gorontalo gorontalo pic |123.0579|0.5519
dinas kehutanan provinsi sulawesi utara manado sulawesi utara |124.8547|1.4655
apartemen nusa indah |117.1324|-0.4974
rujab walikota parepare |119.6323|-4.0108
rsud bitung bitung north sulawesi |125.1177|1.4395
nadines private room |124.8348|1.1968
komp dpr raya |114.5720|-3.3103
pasar tradisional transit passo|128.2549|-3.6219
bank bni 46 cabang unmul samarinda indonesia |117.1568|-0.4747
lab komputer sman 8 denpasar denpasar bali |115.2232|-8.5984
jorong cafe n resto|114.5889|-3.3106
sepinggan international airport bpn|116.9007|-1.2617
rm patene makassar sulawesi selatan |119.4069|-5.1307
bri cabang kotamobagu kotamobagu north sulawesi |124.3112|0.7405
kantor pelayanan pajak pratama makassar selatan|119.4395|-5.1363
q mall banjarbaru banjarbaru  kalimantan selata |114.8341|-3.4390
pura taman kemuda saraswati |115.2616|-8.5063
guang wei   cafe tenda|113.9119|-2.2094
ari pro fitness denpasar bali |115.2495|-8.7045
klub jimbaran badung bali|115.1871|-8.7962
syaichona cholil httptconjc7j26m0s |116.9188|-1.2530
kafe betawi badung bali|115.1842|-8.7238
gedung fib fakultas sastra unhas |119.4902|-5.1329
rumah makan ular |124.7900|1.2017
yamaha dealer and service alauddin  mamadhidayat |119.4449|-5.1854
bali bakery|115.2398|-8.6614
pasar malam sambung jawa makassar sulawesi selatan |119.4110|-5.1640
coto paraikatte makassar sulawesi selatan |119.4365|-5.1568
the djarod cafe |124.8335|1.4757
kfc  kfcindonesia |115.2124|-8.6587
perumahan wana asri abianbase|115.1718|-8.5995
sma dwijendra denpasar |115.2256|-8.6545
pantai kuta kuta beach badung bali|115.1692|-8.7199
spbu pettarani makassar |119.4164|-5.1549
pt arta boga cemerlang |124.2833|0.7042
pura luhur uluwatu uluwatu temple|115.0866|-8.8282
putrichrisonias |115.2002|-8.6605
pura gunung payung|115.2020|-8.8389
saptenno palace |128.2164|-3.6648
soto banjar bang amat|114.6132|-3.3043
jas ds kuwum mengwi badung |115.1830|-8.4654
mahogany m701 balikpapan east kalimantan |116.8616|-1.2318
jalan ahmad yani manado sulawesi utara |124.8316|1.4678
paparons denpasar |115.2059|-8.6775
kekung residence tomohon |124.8348|1.3240
pt pln persero wil suluttenggo manado indonesia |124.8335|1.4625
gpib ekklesia |115.1781|-8.7445
dliquid makassar sulawesi selatan|119.4325|-5.1693
lapangan merdeka bone watone south sulawesi |120.3276|-4.5390
gedung kesenian sulsel societeit de harmonie  kotamakassarku |119.4064|-5.1321
bone karaoke and bar |124.8466|1.4889
swell bar  restaurant |115.1722|-8.7206
papa rons pizza|115.2009|-8.6810
tanah lot|115.0885|-8.6173
tanjung benoa dive  water sports|115.2234|-8.7619
pt lentera mas |116.8502|-1.2750
gmim eben haezer watutumou minahasa utara sulawesi utara |124.9085|1.4753
epds denpasar bali |115.2423|-8.6836
coto makassar cabang sengkang|117.1377|-0.5103
sekretariat bem fkip unmas denpasar bali indonesia |115.2248|-8.6533
rabbani sultan adam |114.6053|-3.2991
damar 18 |119.4586|-5.1543
gedung bundar fakultas kehutanan unmul|117.1532|-0.4712
puskesmas cempaka banjarmasin |114.5874|-3.3233
monumen bom bali  legian |115.1744|-8.7175
xo suki duta mall|114.6028|-3.3223
the stones hotel   autograph collection by marriott badung bali|115.1694|-8.7115
xii ipa 5 sman 5 makassar  exactfive14 makassar indonesia |119.4613|-5.1484
syamsuddin noor international airport bdj  bdjap1|114.7541|-3.4380
pantai sanur |115.2633|-8.6695
beachwalk xxi  21cineplex badung bali|115.1699|-8.7166
pt mutualplus global resources makassar |119.4200|-5.1613
bethphotowork samarinda kalimantan timur |117.1263|-0.4822
pelabuhan seng hie |109.3459|-0.0330
aula bapelkes prov kalteng palangka raya central borneo|113.9102|-2.2102
mice auditorium stp nusa dua bali nusa dua bali |115.1929|-8.8109
kantin smak santo yoseph |115.2150|-8.6719
taman segitiga macan|119.4080|-5.1357
wisma kalla |119.4154|-5.1491
rince tengkus home |119.4237|-5.1284
faculty of management  business undiknas university|115.2264|-8.6968
jalan aki balak |117.5740|3.3351
warung pojok masyonet |115.2606|-8.6821
gedung bina satria |114.8316|-3.4401
magister manajemen universitas tanjungpura|109.3541|-0.0474
jt 709 maros sulawesi selatan |119.5400|-5.1000
engine room badung bali |115.1745|-8.7179
mess ut jayapura |140.7261|-2.5274
my home jhund makassar sulsel |119.4121|-5.1566
pantai talise |119.8759|-0.9014
balai prajurit jendral m jusuf ex manunggal|119.4155|-5.1399
putri duyung hotel  resort httptcoqbcjhjuv3n |115.9076|-3.6144
lembah pujian gbi rock denpasar bali|115.2249|-8.6175
talenta tours  travel makassar indonesia |119.4400|-5.1557
fakultas psikologi unm makassar sulawesi selatan |119.4357|-5.1682
jalan cendana 2c |114.5896|-3.2987
nasi pedas ibu andika badung bali |115.1767|-8.7270
perumahan bumi pesona pelangi |119.4586|-5.1820
sari bento pic |109.3422|-0.0492
museum kota makassar makassar south sulawesi|119.4084|-5.1348
triplo coffee shop |115.1644|-8.6780
fakultas ekonomi universitas atma jaya |119.4016|-5.1705
kandangku |116.8383|-1.2408
puskesmas bailang |124.8510|1.5225
stadion pendidikan wamena wamena papua |138.9485|-4.1019
lontong sayur gunung nona makassar indonesian |119.4209|-5.1443
kel helda waworuntu manado indonesia |124.8459|1.4755
lesehan basi tamu |121.9469|0.4601
kedai ayu |119.8877|-4.3548
program studi psikologi fip minahasa sulawesi utara|124.8839|1.2722
unika de lasallemanado|124.8727|1.5042
dapoer sulawesi cafe n coffee shop |119.4052|-5.1363
ruang ti 101 teknologi informasi  fakultas teknik|115.1765|-8.7963
hop 4 |117.4628|0.1355
warkop bwk 87 |120.2545|-5.1196
bandara ngurahrai bali |115.1926|-8.7014
electrical engineering unud jimbaran indonesia |115.1771|-8.7961
class room ii2a |124.8659|1.5041
house of suanda kuta bali |115.1830|-8.6169
sma negeri 7 manado  sman7mdo|124.8545|1.4600
steam drum 1 sanggau |110.5560|0.0302
